source,brand,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,Gritzo,Healthy Start,82,ba32c3f5-5e29-44d0-bb1c-b81016ebf403,Vitamins,2025-06-19,1,48.95
YouTube,Gritzo,Summer Shred,39,88df3c01-5e26-4879-875b-fea7a6d2f0f8,Vitamins,2024-11-05,2,81.66
Twitter,Gritzo,Winter Bulk,75,4abfbb38-9abc-47ff-8aa3-eb50c0566e6e,Vitamins,2024-10-20,1,118.45
YouTube,MuscleBlaze,Healthy Start,80,5cbf27ee-317f-41b0-81f7-7042c1192f37,Protein Powder,2024-10-12,1,71.1
YouTube,Gritzo,Summer Shred,11,5a78f20e-fb8e-410f-9e16-d3dfb9cedd71,Creatine,2024-10-11,0,0.0
Twitter,HKVitals,New Year Fit,27,0320fd2d-acba-4f35-a911-1c5f29d4f8ed,Protein Powder,2024-12-18,2,100.79
YouTube,HKVitals,Healthy Start,81,1d2062ad-bf59-4602-ab0a-b28d5c7516d6,Creatine,2024-07-25,0,0.0
YouTube,HKVitals,New Year Fit,32,9c45badd-2602-4bba-a59f-09590b367026,Creatine,2025-01-11,1,50.09
YouTube,HKVitals,Summer Shred,10,7680b6f3-85be-4e2d-a8b5-0412f9286d6e,Vitamins,2024-10-06,3,75.36
Twitter,MuscleBlaze,New Year Fit,54,ee11cb72-7cff-4384-ad71-c8b6c22fd994,Gainers,2025-04-08,2,191.65
YouTube,Gritzo,Winter Bulk,44,40be2445-caa3-444b-8b18-0af844423d11,Creatine,2025-07-23,0,0.0
Instagram,MuscleBlaze,Healthy Start,41,def14b23-85e3-40a7-b157-f5adada5a260,Gainers,2024-11-23,1,96.49
YouTube,HKVitals,Healthy Start,98,989cf7fb-22b1-465b-b2b2-4efe73987487,Protein Powder,2025-01-07,3,336.68
Instagram,HKVitals,New Year Fit,31,55d7599e-865b-4800-be85-5a067a75d36e,Protein Powder,2025-01-12,2,182.97
Twitter,MuscleBlaze,Winter Bulk,58,7a0cc50e-ad98-4f71-8b8f-8b3dfb47c364,Vitamins,2025-04-19,0,0.0
Instagram,Gritzo,Healthy Start,7,3aaddd0d-cd1c-42de-98a5-a21ce7524cab,Gainers,2025-05-08,3,378.75
Twitter,HKVitals,Winter Bulk,54,dfc76a56-5732-4e92-bb98-d50dbfe440ba,Vitamins,2024-12-17,1,78.51
Instagram,MuscleBlaze,Healthy Start,74,068a1c10-7377-4570-a965-d3969587c5d9,Vitamins,2024-12-22,2,94.89
Twitter,HKVitals,New Year Fit,64,68b1f3f7-634e-4576-aab3-e4d63fcb32c6,Gainers,2025-03-31,1,84.03
Twitter,HKVitals,Summer Shred,64,62bad160-44ce-477c-8b88-49eb42bb2dfe,Protein Powder,2025-05-24,2,177.78
YouTube,MuscleBlaze,New Year Fit,65,b8b0264d-4794-4995-a9d8-41c33ea9f038,Vitamins,2024-12-15,1,124.71
Twitter,MuscleBlaze,Healthy Start,75,c9ded779-797d-49a8-a66d-79f578a687e8,Protein Powder,2024-10-31,1,39.4
Twitter,HKVitals,New Year Fit,37,f6c83ac8-a7d8-4c3e-885e-5305b6bd6501,Gainers,2025-01-28,1,73.1
YouTube,HKVitals,Summer Shred,69,82c529ff-fb71-4f8a-a571-dfbc6a93b24b,Protein Powder,2025-04-21,1,24.51
Instagram,HKVitals,Healthy Start,18,38b01939-2d73-4380-a6db-5d4cad3acdbb,Creatine,2025-01-26,2,206.79
Twitter,MuscleBlaze,Summer Shred,47,0722361e-b213-4f22-b5c6-d3fcd5adb9c3,Gainers,2024-08-08,3,149.7
Instagram,Gritzo,Winter Bulk,73,818ec73c-5f5c-44f4-b47e-61d4d390012c,Creatine,2024-10-31,1,107.41
Twitter,Gritzo,Summer Shred,37,0d5f0475-4dc2-4cdb-b3a3-03c0dc312cfc,Gainers,2025-03-23,4,463.73
Twitter,MuscleBlaze,Healthy Start,58,78ca54b0-6429-45af-8e8f-c44b9bfeff05,Protein Powder,2025-07-06,2,61.12
YouTube,HKVitals,New Year Fit,13,eb2dbd31-1efa-4963-819c-664c8acdd755,Creatine,2025-02-05,4,422.9
Twitter,MuscleBlaze,Healthy Start,72,05913c34-a99e-4a18-804e-3f772bd60abe,Vitamins,2025-05-04,3,301.56
YouTube,MuscleBlaze,New Year Fit,78,26a1f390-2cb0-4423-83f3-deefd4dd491f,Protein Powder,2025-03-24,2,186.7
Instagram,HKVitals,Winter Bulk,5,9c1cfe3f-72a1-492f-bdb3-9c7ef07ec38e,Creatine,2025-01-20,3,381.08
Twitter,Gritzo,New Year Fit,67,d439f03e-8792-4912-9c74-9c5746b0669c,Vitamins,2024-08-25,2,252.78
Twitter,Gritzo,Winter Bulk,66,c16a63ed-4b20-49ec-8eaa-55df90188609,Creatine,2024-12-27,0,0.0
Instagram,Gritzo,Winter Bulk,41,15e20ba5-0a9f-4639-9429-ac7f6484e6d7,Gainers,2024-12-20,2,238.99
YouTube,Gritzo,Healthy Start,95,d3f46e0f-28b4-475c-ada5-4e188a3f3982,Creatine,2024-09-26,2,72.75
Twitter,HKVitals,New Year Fit,66,5a36cfbb-09d8-43c3-a5da-5d3f03e61344,Creatine,2025-02-12,4,389.01
Instagram,Gritzo,Healthy Start,3,8111fc45-05d5-459d-a36a-194b7dbea89a,Creatine,2025-03-14,3,167.61
Instagram,Gritzo,New Year Fit,15,63399266-3c45-4841-a746-c448a6694edc,Creatine,2024-08-02,2,100.67
Twitter,HKVitals,Summer Shred,89,3bb71f3f-5968-4fb0-9d8d-72ec6057740f,Gainers,2025-03-09,2,55.59
Instagram,Gritzo,Winter Bulk,84,c7d4fd44-4b4d-4572-91e3-a588dcfc745d,Protein Powder,2025-06-05,0,0.0
Instagram,MuscleBlaze,Winter Bulk,62,38d81da7-e3db-4331-96d8-c7d8211d89a7,Gainers,2025-03-25,1,115.44
YouTube,Gritzo,Winter Bulk,88,16de170e-9c51-41fd-b5e3-8ef92c58efd8,Protein Powder,2024-10-24,3,241.48
Instagram,MuscleBlaze,Summer Shred,90,38da9dc8-04d7-45ab-986c-2c642e2b237f,Vitamins,2024-11-12,0,0.0
Instagram,MuscleBlaze,Healthy Start,57,7b3e693e-203f-413d-b835-1cd88d58a008,Gainers,2024-10-10,1,102.08
YouTube,Gritzo,Winter Bulk,53,b771cbe7-ca67-4f83-9056-925ed1780551,Gainers,2024-12-02,2,116.94
Twitter,Gritzo,New Year Fit,100,3dc698aa-df38-47e1-a5ae-63d23b64fdde,Protein Powder,2025-07-15,2,271.5
Instagram,Gritzo,Winter Bulk,18,79b10870-23d6-407c-84da-a9f1590a5eea,Creatine,2025-05-09,3,95.05
Instagram,MuscleBlaze,New Year Fit,62,13c49282-7307-40e7-8451-f93f8cc7e3a0,Creatine,2025-01-15,3,115.88
Twitter,Gritzo,Healthy Start,59,b5f2c1cb-7b0d-4c0a-a08e-87fa4c5168cb,Creatine,2024-11-25,2,221.44
Twitter,MuscleBlaze,Healthy Start,99,ebeab797-8fc8-4159-beab-9aa6ac32d619,Gainers,2025-07-06,5,100.72
YouTube,MuscleBlaze,Healthy Start,32,7de4f544-f809-48d8-9c46-7b429d1234d1,Creatine,2025-01-16,1,106.04
YouTube,Gritzo,Healthy Start,39,21e01bf6-8cc0-4905-bc96-3aa389fedcaa,Vitamins,2025-01-29,2,229.48
YouTube,HKVitals,New Year Fit,91,b490387c-c4a7-465c-bf89-26153d564020,Creatine,2024-10-11,2,129.11
YouTube,MuscleBlaze,Healthy Start,45,b5ddf482-af78-40ff-af40-fc658b1fbf31,Creatine,2025-05-24,0,0.0
Instagram,HKVitals,New Year Fit,74,52df5524-f450-429c-8cea-a87d807a5f1a,Gainers,2024-09-15,3,216.79
Twitter,MuscleBlaze,Winter Bulk,99,5c1e367b-ef81-402d-8c20-c4cc02655e46,Creatine,2025-07-10,2,40.01
Twitter,HKVitals,Summer Shred,37,4aeb9c91-7993-4cbb-b228-5151a84c41b8,Creatine,2025-01-13,2,43.35
Instagram,MuscleBlaze,Healthy Start,84,025ccf35-d498-4d9f-b4cf-706b82c0cdd3,Gainers,2024-11-10,4,124.23
Twitter,MuscleBlaze,Healthy Start,26,bd4cc9b8-5baf-4453-a90d-273a595476f0,Creatine,2024-12-05,2,141.07
Twitter,MuscleBlaze,Winter Bulk,14,71b33ed4-dc85-4c29-aba7-11dac958599b,Vitamins,2024-10-10,1,60.94
YouTube,MuscleBlaze,Winter Bulk,86,75f3c3fb-bb8d-44ed-847e-0219b03da23b,Vitamins,2025-02-01,0,0.0
YouTube,Gritzo,New Year Fit,13,c7f48edb-63bf-462e-a4e4-40c4e2259e07,Creatine,2025-06-19,5,628.11
Twitter,MuscleBlaze,Summer Shred,61,ce5dfaab-825b-431b-a2a3-aba4e3d4bec8,Vitamins,2025-06-27,1,72.35
Instagram,Gritzo,Winter Bulk,71,8d503aa7-7c8e-4645-9e7a-ee508beab958,Gainers,2025-07-01,3,306.63
Twitter,HKVitals,New Year Fit,61,3f18d6f0-aa7f-4b06-84e9-7196111bef08,Vitamins,2025-05-17,0,0.0
Twitter,MuscleBlaze,Healthy Start,42,3a403cc8-1c49-4ca6-a7e4-dcaf4563ca27,Protein Powder,2025-01-16,5,502.46
Instagram,MuscleBlaze,Winter Bulk,84,4ff36155-b292-44e4-9e1e-40d1cfa88e97,Protein Powder,2024-08-15,1,56.99
Twitter,HKVitals,Winter Bulk,54,ab5b85d4-d8fd-41d4-aeca-7b82bf1057c4,Protein Powder,2024-09-18,3,108.96
Twitter,MuscleBlaze,Winter Bulk,64,3e864bc8-f74a-48e1-9d68-0f64422942dd,Creatine,2025-04-10,1,82.2
Instagram,HKVitals,Healthy Start,2,427e0bf7-0a8f-4445-8173-631fffcea47d,Protein Powder,2025-04-15,2,54.83
Twitter,MuscleBlaze,New Year Fit,37,95d98c8f-38b9-4da9-abaa-4409a290bf50,Gainers,2025-05-09,0,0.0
YouTube,MuscleBlaze,New Year Fit,65,c51bcb30-7c87-4cfe-b6d7-5e0928e61728,Creatine,2025-04-08,1,102.91
Instagram,Gritzo,Healthy Start,15,dfa825e5-48d4-4d96-8045-e50321822e29,Vitamins,2024-10-10,1,84.76
Twitter,MuscleBlaze,Healthy Start,59,0ac99458-7650-45dd-8149-71d7a166c9a3,Vitamins,2025-07-12,2,199.55
YouTube,Gritzo,Healthy Start,95,cb926a55-6093-46b2-adfc-3cad322e3a3a,Creatine,2025-03-17,4,413.3
YouTube,Gritzo,Winter Bulk,87,467f1eb2-6a84-4971-b680-9284b6821b01,Vitamins,2024-11-12,1,111.23
Instagram,Gritzo,New Year Fit,82,6d7f9ad4-e44e-4088-b5de-e49c2187aceb,Gainers,2024-11-12,3,183.15
Twitter,Gritzo,Summer Shred,42,42d0d17d-eb21-4528-ad2c-0e6a37ce594b,Gainers,2024-10-11,0,0.0
YouTube,HKVitals,Winter Bulk,13,de78d5d3-4028-40ab-be92-7278b807766d,Vitamins,2025-01-21,3,354.94
Twitter,HKVitals,Winter Bulk,42,17897b4a-31df-416b-b2c2-7243857212e7,Protein Powder,2025-06-05,3,106.97
Instagram,HKVitals,Winter Bulk,50,a7b5178f-6d29-4903-8f2e-16f93a841e67,Gainers,2024-08-17,3,192.33
YouTube,HKVitals,Healthy Start,43,73653af4-413f-4ae2-8832-89a249443b15,Protein Powder,2025-07-18,1,105.55
Instagram,MuscleBlaze,Healthy Start,84,e053c52d-78c4-4ac6-a091-10d096aa1b84,Vitamins,2025-05-03,3,104.91
YouTube,HKVitals,Summer Shred,86,d9adf8c0-fee8-47db-9fab-ed14b1e02da5,Gainers,2024-07-31,3,232.39
YouTube,Gritzo,New Year Fit,21,94655087-d4f8-431e-9d88-67331330cf57,Creatine,2025-05-28,1,125.78
Twitter,Gritzo,Healthy Start,16,66b3ee57-03db-420d-8c35-d7aab7350ad7,Creatine,2024-10-28,3,246.19
Twitter,HKVitals,Winter Bulk,29,fbcb0cfb-5fe1-4a1f-8677-97842aae3d69,Vitamins,2025-01-29,3,109.46
Instagram,HKVitals,New Year Fit,20,e562fcf9-9219-40b3-9c48-665d3d9a156b,Creatine,2025-02-18,1,115.47
Instagram,MuscleBlaze,New Year Fit,90,95e4fc4a-55ea-4687-b9be-628f0c111639,Vitamins,2025-07-12,1,91.81
YouTube,Gritzo,Summer Shred,88,60a349cf-d2d0-4a3a-bac8-ea5157f7763c,Gainers,2025-05-15,3,373.17
YouTube,Gritzo,Healthy Start,91,510f068b-1228-4b7b-9c93-1a3bc043162c,Protein Powder,2024-11-02,1,93.56
Instagram,Gritzo,Summer Shred,15,5c1cb4da-1791-4071-8126-a468b6d3cb81,Vitamins,2025-06-09,2,77.3
YouTube,HKVitals,Winter Bulk,69,31ede362-a4a2-41a7-8c92-db80edd6d6f7,Vitamins,2024-10-25,1,97.44
Twitter,Gritzo,New Year Fit,67,4b3c35a6-8f2b-47f5-a48e-d5f1c9d486f1,Protein Powder,2025-06-06,0,0.0
Twitter,Gritzo,New Year Fit,27,64746eb5-afa4-4fdf-9c0f-e5e1a8e39f0b,Protein Powder,2025-01-23,3,245.97
Twitter,MuscleBlaze,Summer Shred,58,78bdab68-d6dc-448b-8ae9-1b774629d5cc,Gainers,2025-06-24,3,426.94
Twitter,Gritzo,New Year Fit,66,6bb23703-29c3-40d1-a96d-8800cf70e3cf,Gainers,2025-05-09,0,0.0
YouTube,Gritzo,New Year Fit,8,ded1cd67-0bc1-4274-b65f-c0197984a17e,Creatine,2025-04-29,2,50.47
Instagram,MuscleBlaze,New Year Fit,3,f830b320-8427-4b70-91f8-e6ffd1aa430d,Creatine,2024-09-12,2,283.34
Instagram,MuscleBlaze,Winter Bulk,96,9bf3ddab-8154-4421-ae95-4c198cc8e604,Protein Powder,2025-04-18,4,590.91
YouTube,Gritzo,Healthy Start,55,166a0242-a5da-406a-9929-0adf98a58840,Protein Powder,2024-11-19,0,0.0
YouTube,MuscleBlaze,Summer Shred,8,f0caa321-9342-4a4a-b44b-95380c515de7,Gainers,2025-07-11,1,77.18
Twitter,MuscleBlaze,New Year Fit,37,53f0e22a-162b-4761-96f0-ec3ed18e2a08,Vitamins,2024-10-05,2,195.86
Twitter,HKVitals,New Year Fit,99,586ca03b-636b-47ed-926a-e7c5b6acc986,Creatine,2025-06-20,2,155.07
Twitter,MuscleBlaze,New Year Fit,58,068c5e9b-e141-4491-9840-5de43395bb55,Gainers,2024-10-25,0,0.0
YouTube,MuscleBlaze,Winter Bulk,88,915320fb-3aa7-4a24-8f41-3f83d27837ac,Creatine,2025-02-06,4,509.48
YouTube,Gritzo,New Year Fit,23,850d1bd7-f83d-4cdf-9c78-254f1719b9f9,Vitamins,2025-02-25,3,433.6
Twitter,HKVitals,Summer Shred,29,aa6e2567-e8ea-45b9-8f51-83350edd1b13,Protein Powder,2025-02-21,2,202.67
Twitter,MuscleBlaze,New Year Fit,60,33808901-2088-41aa-a537-82ad59322fd3,Gainers,2025-02-23,1,27.75
YouTube,MuscleBlaze,New Year Fit,32,9c4be123-931d-4a8a-ad43-11496ea9ba5b,Creatine,2025-06-17,3,319.94
YouTube,MuscleBlaze,Winter Bulk,36,1ab738fb-1a00-41a8-a755-8d61dffee198,Protein Powder,2025-01-10,0,0.0
Twitter,MuscleBlaze,New Year Fit,85,73184bd8-070a-4699-91be-970059ff2482,Protein Powder,2025-03-18,1,46.3
Twitter,Gritzo,Summer Shred,27,3e18a9e7-4aa5-4141-a782-57f966ca233a,Protein Powder,2024-08-11,1,71.71
Instagram,MuscleBlaze,New Year Fit,5,ccaa0169-5403-46c0-b8dc-c29d8f9a50b8,Protein Powder,2025-02-11,2,258.18
YouTube,HKVitals,Summer Shred,95,b6e16c1e-4949-4693-ab99-f82c2e0e4b3d,Gainers,2025-06-03,1,28.07
YouTube,MuscleBlaze,Winter Bulk,30,343859b4-b7b2-453d-aa69-b2045f8ec7fc,Protein Powder,2025-03-11,0,0.0
YouTube,Gritzo,Healthy Start,65,95ea6ad5-645d-42a1-99b7-51f75bd6c4aa,Vitamins,2025-07-23,4,130.96
Instagram,MuscleBlaze,Healthy Start,74,326fa242-37eb-4852-99ae-f4cf95a8718b,Creatine,2024-12-29,0,0.0
YouTube,HKVitals,Winter Bulk,39,aae6c36e-1dcf-45e5-8b89-4cc63bdea3cf,Vitamins,2025-05-21,2,285.95
YouTube,Gritzo,Healthy Start,39,fa8510d6-5216-4165-a129-925d2a75a5f4,Protein Powder,2024-10-16,2,84.17
Twitter,Gritzo,Winter Bulk,76,859c0713-f837-4f30-8431-ac7f1ca83dc1,Gainers,2025-04-08,0,0.0
Twitter,Gritzo,Summer Shred,64,f7908b54-bb79-4ec9-8df9-b019a5b67dab,Creatine,2024-11-11,1,66.56
YouTube,Gritzo,New Year Fit,86,a46cf132-b8ea-4989-bf81-f29bf6814379,Creatine,2025-05-09,3,209.03
Twitter,HKVitals,New Year Fit,54,f1ce8216-445a-4b21-a32f-2c2854e8544e,Vitamins,2025-07-11,1,20.54
YouTube,MuscleBlaze,Winter Bulk,49,9ab6be88-3c7b-4016-8e28-56b69fa6e62d,Gainers,2025-03-30,3,222.02
Twitter,HKVitals,Healthy Start,29,8c633254-e157-47e1-9c11-e3059962059c,Vitamins,2024-09-06,0,0.0
YouTube,Gritzo,New Year Fit,8,68f447da-1b23-4e9e-bd1c-276d66074a41,Gainers,2024-08-24,1,144.37
Instagram,MuscleBlaze,Winter Bulk,68,7a9abf8d-506d-4b5e-b8ad-727c4fd4503c,Gainers,2025-03-25,3,152.4
Twitter,Gritzo,Winter Bulk,33,8f34bf05-0d5f-4b85-a146-aa9f197ec13c,Creatine,2024-11-06,0,0.0
YouTube,MuscleBlaze,New Year Fit,11,50eacae2-7632-4f51-88ce-657a8502db79,Creatine,2025-06-13,4,117.82
YouTube,HKVitals,Winter Bulk,69,c537197f-0fe1-429f-8801-e0496fb47dd7,Protein Powder,2025-03-22,1,121.72
YouTube,MuscleBlaze,Summer Shred,49,0eaf5150-5524-4664-bd7e-c00d63d61d5d,Protein Powder,2024-12-15,4,287.65
YouTube,MuscleBlaze,Winter Bulk,98,225f6684-cc4b-40d3-a51e-46fd15db7c5f,Gainers,2024-11-08,2,247.78
YouTube,MuscleBlaze,Healthy Start,43,e8942d12-307a-4427-893e-f915813e6b5d,Protein Powder,2025-05-22,2,190.37
Twitter,MuscleBlaze,Summer Shred,25,8454adb0-bb5b-422a-a3c1-08cb7ab5be4c,Gainers,2025-01-21,3,329.9
Instagram,MuscleBlaze,Winter Bulk,90,57eb7ed1-98b1-4c3f-b4a2-eb1628ada5b6,Gainers,2024-09-26,1,91.32
Instagram,HKVitals,Healthy Start,71,16953b39-34bd-4362-9719-95499fa4b744,Creatine,2025-07-11,3,323.43
Twitter,HKVitals,Healthy Start,60,06d77d8a-c81a-4151-bbba-91723773101e,Creatine,2024-08-10,1,40.64
Twitter,MuscleBlaze,New Year Fit,47,f797c0d2-78ae-4d74-bd90-d902fa962fe1,Gainers,2025-03-04,5,534.99
YouTube,MuscleBlaze,New Year Fit,93,451f6d87-569a-4a07-8735-609fd93bdb3e,Creatine,2025-06-27,2,194.38
YouTube,MuscleBlaze,Healthy Start,48,a9660ed7-d87a-4a5b-894a-560968676933,Gainers,2024-12-28,1,81.33
Instagram,MuscleBlaze,Winter Bulk,73,c3c09425-6f8a-4ccf-ba89-1873202e7721,Vitamins,2025-03-14,2,232.99
Twitter,MuscleBlaze,New Year Fit,34,e29abd8b-ffec-4d2a-bb40-181a4503cfbc,Creatine,2025-07-08,0,0.0
Twitter,HKVitals,Healthy Start,26,7cebf4be-ddf1-4404-be90-6fa9b31ce4a2,Vitamins,2024-07-26,2,220.69
Instagram,Gritzo,Winter Bulk,73,615c5c28-6db5-417d-bd7d-9e0c09cf0dad,Gainers,2024-08-19,4,149.25
Instagram,HKVitals,Healthy Start,84,f14e6376-a42d-491a-a700-0b5f63883050,Creatine,2025-05-12,1,97.91
YouTube,MuscleBlaze,New Year Fit,93,0d580bfd-0d03-4afb-9ab1-5314a12cad7b,Gainers,2024-07-23,2,169.02
YouTube,MuscleBlaze,Healthy Start,94,d160c2a8-2034-4ad6-9754-9ffd5c9ea6ea,Vitamins,2025-06-22,2,192.06
YouTube,Gritzo,New Year Fit,93,66c5e0bc-55ef-4ffc-ad95-3981aa9bebc9,Vitamins,2024-09-06,2,63.77
YouTube,MuscleBlaze,Summer Shred,83,d661f036-cbd0-434f-a4a2-3cc3b051f05d,Protein Powder,2025-02-24,3,409.66
YouTube,HKVitals,Summer Shred,86,a9bdc0e2-8fed-44fc-a953-894dcbfa3c47,Protein Powder,2025-07-11,1,132.02
Instagram,Gritzo,Winter Bulk,18,1e5519b1-2e2b-48da-be34-e542e56c346a,Protein Powder,2024-10-14,4,469.93
Instagram,Gritzo,Summer Shred,20,c1078cd7-8a2a-444b-a4f8-35e8db135d12,Vitamins,2025-01-02,2,109.89
Twitter,Gritzo,Healthy Start,59,35f1a9a8-977e-4846-a31c-edaee12f3416,Protein Powder,2025-01-26,1,59.83
Instagram,MuscleBlaze,New Year Fit,82,5cb0a8e9-c4bb-4f44-b308-3d094f35c318,Gainers,2024-09-23,3,91.81
Twitter,MuscleBlaze,New Year Fit,1,d59caacb-0e0d-46d0-8d14-ab1275297a7f,Protein Powder,2025-05-31,0,0.0
Instagram,MuscleBlaze,Healthy Start,68,2251543b-a386-437c-97cb-636d9da107bb,Creatine,2024-09-20,1,56.83
YouTube,MuscleBlaze,New Year Fit,65,23d13f42-482a-4033-ba4c-d7a72bc9f4ca,Vitamins,2024-08-28,2,208.84
YouTube,MuscleBlaze,Winter Bulk,13,47f82507-fd4a-42a5-9da7-2f91c1f4b3f0,Vitamins,2024-12-25,3,119.98
YouTube,HKVitals,Healthy Start,80,fd134988-ce78-4cdc-bc3b-0384acf489f7,Creatine,2024-10-30,4,564.51
Instagram,HKVitals,Summer Shred,51,0bc5e4c6-e27e-43e9-8bef-67311007b6ff,Creatine,2024-11-01,4,200.16
Twitter,HKVitals,Winter Bulk,59,25991b5e-156a-4524-a853-f9c3f05cc8fb,Vitamins,2025-07-13,2,75.91
YouTube,MuscleBlaze,Summer Shred,88,ed542393-be09-40e5-ab67-007331ce0a37,Protein Powder,2025-02-26,3,355.64
YouTube,Gritzo,New Year Fit,52,6a9be106-c6e1-4832-af0e-64a5d9187c11,Gainers,2024-10-29,2,94.52
Twitter,Gritzo,Summer Shred,61,1f5ec88a-0217-41e8-955e-ea5fe7425c65,Protein Powder,2025-02-03,5,549.58
Twitter,HKVitals,Summer Shred,22,e4e8ac9a-670e-4666-80a4-f9f9898fe721,Gainers,2025-03-26,2,214.64
YouTube,Gritzo,Healthy Start,83,27640e47-d956-4e95-abbb-cbe6a90f3f04,Protein Powder,2024-11-14,2,171.16
Twitter,Gritzo,Winter Bulk,6,663b40b9-1aa4-4a8a-b6b0-2a58720f793d,Vitamins,2024-09-13,1,103.88
Instagram,MuscleBlaze,New Year Fit,73,3781c070-0c94-4931-b97e-6a5ec230ce25,Creatine,2025-07-18,2,109.98
YouTube,MuscleBlaze,Healthy Start,10,f2022e05-8b38-4875-a76b-2ff13e227c84,Protein Powder,2025-06-28,3,353.0
Instagram,Gritzo,Summer Shred,41,f05087fb-24a2-450b-9af5-400872b081c2,Vitamins,2025-02-20,3,206.9
Twitter,HKVitals,New Year Fit,19,e46a6119-da5d-47d4-abda-0c8ae29529d7,Protein Powder,2024-09-22,1,83.2
YouTube,Gritzo,Winter Bulk,21,dfcef73b-3aaa-474b-8943-79c4306e9f82,Gainers,2025-04-05,0,0.0
Twitter,Gritzo,Healthy Start,70,69e2540c-ba05-4357-8015-15c02299a8cc,Gainers,2024-08-27,3,394.89
Instagram,MuscleBlaze,Summer Shred,18,62d0234e-a36b-4e45-87c2-8e3e75e3cc3b,Creatine,2024-12-26,2,219.48
YouTube,MuscleBlaze,New Year Fit,13,0b066b12-367b-4b00-b4b8-cffa3835d836,Vitamins,2024-12-07,3,311.83
YouTube,MuscleBlaze,New Year Fit,44,c087627a-ac5e-4856-972d-167f66543514,Creatine,2025-05-04,1,60.57
Instagram,HKVitals,Healthy Start,82,227ef038-8453-4e47-a6c6-b0fdc80f8493,Gainers,2024-12-11,2,287.62
YouTube,HKVitals,Healthy Start,30,9b9e2fed-a41e-438e-810e-c995d1b0089d,Gainers,2024-11-27,3,428.84
Twitter,Gritzo,New Year Fit,24,c07801c0-cb44-44e8-9e57-c7c6623487d2,Protein Powder,2025-02-16,2,223.31
Twitter,MuscleBlaze,Winter Bulk,38,3f8c58e7-bff7-442f-9c10-8637465c26d1,Protein Powder,2025-06-18,2,266.99
Twitter,Gritzo,Winter Bulk,35,4f912fcb-98b6-452f-9b69-7053e52535f8,Gainers,2025-01-04,1,113.27
Instagram,HKVitals,Winter Bulk,82,48b31afe-53c7-4d47-bb20-123a991f3c49,Gainers,2025-03-18,3,386.21
Twitter,MuscleBlaze,Summer Shred,47,5f9e2531-3af1-4bf8-9fad-fb1291cf1a66,Protein Powder,2024-08-23,1,113.65
Instagram,HKVitals,New Year Fit,40,85539e52-407e-4f8e-82c5-4618d3d7caea,Creatine,2025-07-10,3,383.53
Twitter,MuscleBlaze,Winter Bulk,14,b114d462-68ba-4b39-bb7d-079e02824463,Protein Powder,2025-04-01,1,129.05
